Feature,Correlation
444,0.06902368731885185
359,0.06869004317619644
445,0.06773170030262643
99,0.06737712499051111
404,0.06718201779239069
413,0.06677617213815688
368,0.06662635883302014
429,0.06600797227765123
417,0.06599259696257255
424,0.06573450295042514
431,0.06487473557023066
407,0.06416791693191427
385,0.06405574932565129
412,0.0634232960761648
418,0.06324477943177047
375,0.06323867489053167
373,0.062361998619498836
349,0.061357606527477355
423,0.06123418412697762
435,0.060550082444589766
372,0.06047735453043502
374,0.05988221646969765
369,0.05987932632368172
355,0.059783175006391125
387,0.05961036744315672
364,0.05940326389733386
386,0.05918078039734883
395,0.059110850410034256
414,0.05869270487721643
421,0.058456345936062436
361,0.05819918096192047
378,0.05802872649987033
370,0.05767527125756254
436,0.057378978066414614
401,0.05691023121069423
419,0.056806261379743456
356,0.05597288300355705
351,0.05581074679740665
381,0.0553854045642304
398,0.05453464619329761
316,0.054478263352144424
100,0.05394519824881607
403,0.05381314394270697
362,0.05315603502959131
411,0.05289154484164135
350,0.052541241202846437
360,0.052199466089672394
394,0.05213375221203387
367,0.05075515191836641
354,0.05069591637077003
358,0.05046143639195395
390,0.048954837976808954
377,0.048572562220227856
340,0.047855067504615816
320,0.04749264914504597
324,0.047346381833954114
339,0.047058699648399455
352,0.04663697591464021
325,0.04657670233948841
363,0.04628846360372724
416,0.046195339845865
365,0.04561575878853571
353,0.04460611156758042
333,0.044321782571543886
376,0.044303959595973295
337,0.04348814271537994
392,0.043406921061038425
342,0.04266013661578854
317,0.04171872711573359
322,0.040722619804761544
329,0.04028474608118899
343,0.03948755757686769
313,0.03931942043995306
327,0.03896035590902937
347,0.03825193108739154
346,0.03674109539896417
341,0.03591458099831974
103,0.035855590153033544
345,0.03458297411147683
300,0.034109181870234324
336,0.03384075900925524
338,0.03366223776782454
348,0.03306158901911428
331,0.03240592025933327
344,0.031864351648337175
308,0.03155396159437352
335,0.03132469748097298
311,0.03119194563689862
357,0.03028248440593333
326,0.03019425322060617
315,0.029633986006809748
102,0.02843982286599152
304,0.02735453265156283
328,0.026859917982678096
302,0.026533694660280695
330,0.025339381767078843
303,0.025273322948803325
323,0.02385969512097164
289,0.02224165974988048
101,0.022133088648534964
314,0.021161441509876266
334,0.021003512334187468
332,0.01957349023215619
321,0.019439397549875323
296,0.01935551988133916
299,0.019107981588446066
309,0.018806849519311324
305,0.018571112843701176
275,0.017861654085309625
312,0.016992295580788512
291,0.016900524238699526
281,0.016674005596617893
297,0.01598867295436222
285,0.015947811502039298
298,0.015649695903347527
319,0.014694383270253299
294,0.014555126294052596
274,0.01389741428891151
295,0.013407896033756053
306,0.013089710416449704
290,0.012295142461638622
268,0.011874486862597214
276,0.011714376161422197
283,0.011697761776430225
307,0.011433302288419179
318,0.011426257091225004
277,0.010583881663381296
271,0.009444499401141627
286,0.009066023620880109
262,0.008468076526322314
280,0.008130889907363131
106,0.007365440639856483
287,0.005172087710448267
292,0.00481027005477775
293,0.004541616232638131
270,0.004332433004813814
109,0.003987006218775507
248,0.001503011137000272
247,0.0011610241360207225
259,0.0010027282928295892
250,0.00017251828116292175
269,-0.0006174101048757567
251,-0.0012137954137312506
267,-0.00146335037781848
105,-0.0020709150728236395
104,-0.0020963715755603555
242,-0.003897424762365946
258,-0.00427643188977692
266,-0.00431025338870697
278,-0.004487080585619829
273,-0.00474123678186858
284,-0.005088486297102075
107,-0.00541362704833944
265,-0.005577947301220464
272,-0.005791712088085127
301,-0.006082868053072718
261,-0.006751015177319284
288,-0.006919795307399452
256,-0.0076873652254801535
255,-0.010431565538347716
235,-0.010676803254617189
310,-0.010822555464385175
264,-0.011409108214342954
238,-0.012245156704032117
249,-0.012590585122121424
282,-0.013233112921981201
110,-0.013236177956237062
237,-0.013625329146892462
244,-0.014170159470616072
253,-0.014803646095938287
243,-0.015087291713645345
195,-0.015972455102425075
257,-0.016382864365866313
254,-0.017358656080782152
263,-0.01760691554967093
279,-0.018127366310074302
236,-0.018611751011240314
228,-0.019445557834136137
260,-0.02087254470168106
241,-0.020918173902173244
108,-0.021958690495885672
220,-0.022689145985752356
245,-0.022773087276314777
239,-0.022797913552288163
111,-0.023568287897025933
240,-0.024563558004872824
246,-0.02461515250252395
114,-0.026806403955595467
187,-0.02703564597954127
252,-0.02716035283946932
232,-0.027172341583116603
234,-0.028018311512029784
197,-0.02852068212851937
116,-0.030388919585258516
233,-0.03112489233886918
227,-0.031449032272077154
208,-0.031851102144730664
225,-0.032843978408078706
214,-0.0336346658468839
113,-0.03440093194639536
177,-0.03479693708476853
206,-0.034916098531528106
112,-0.035143715611545064
211,-0.035220228026042535
119,-0.03548797992396149
194,-0.035738051108858054
189,-0.03633254620602198
115,-0.03767079298858573
224,-0.03861692678031653
217,-0.038969427967585034
226,-0.03910781777504482
230,-0.03947766404507766
173,-0.03997756426928876
190,-0.04002630669562879
198,-0.040026637291060006
209,-0.04005348094124273
213,-0.04019869388317505
205,-0.040376158455348414
193,-0.04080175160789567
200,-0.04102668290128403
221,-0.04134041000716625
118,-0.04271194732745407
202,-0.04351841515941742
216,-0.04416131137648258
199,-0.04441805383752738
210,-0.04498749824067854
212,-0.045934924033466606
172,-0.04609512567590054
231,-0.04645978019928304
229,-0.04658641358566655
203,-0.04722812422635614
188,-0.047316615436955436
176,-0.04770127938977689
122,-0.04772065977356539
207,-0.04822430123612802
174,-0.04874877432461132
222,-0.04877732796687612
215,-0.05016846110860964
120,-0.05051608708022412
219,-0.05058616088726429
196,-0.05071443790708621
135,-0.05099470543004914
117,-0.05194726232188094
175,-0.05264763856537701
185,-0.052950544688175526
192,-0.05337906770954179
165,-0.05376706565036932
140,-0.05456250031206875
125,-0.05463628794351093
147,-0.05464759971141803
143,-0.054780987122428626
145,-0.0548342734408905
179,-0.05554094969487976
201,-0.05585969342028787
204,-0.056109820003280894
166,-0.05613522459391702
178,-0.05646646388467765
121,-0.05653583296000591
180,-0.05707725208283041
186,-0.0571264341485571
184,-0.05731832359574341
128,-0.05783649636122393
150,-0.05803489921425939
129,-0.05828628069409296
127,-0.05830446125699728
191,-0.05949813201963422
124,-0.060327173349948214
159,-0.061061835544187586
163,-0.06131317054308252
141,-0.061499032483716784
181,-0.062291230260387354
160,-0.06247038248599665
139,-0.06260760366649168
182,-0.06318350886811605
126,-0.06348603009575877
148,-0.06383901997105336
131,-0.06461880316385062
149,-0.06473953563919348
167,-0.0651940341678745
223,-0.0652396943457551
134,-0.06555818491305843
171,-0.06606592841636326
218,-0.06710171449670983
169,-0.0672156284238287
137,-0.06764016027011652
153,-0.06785350328623903
130,-0.06845678808796375
164,-0.06914335727170351
161,-0.06923597582629895
132,-0.06928234256602693
168,-0.07067476705653487
158,-0.07074874862170563
144,-0.07091072528316587
138,-0.07134106095048992
157,-0.07150100123842483
170,-0.07201106588561094
123,-0.07281458381526357
133,-0.07332629053038356
154,-0.07389270541881097
155,-0.07519731517589846
136,-0.07577279956369527
142,-0.07606784670047886
183,-0.0766651480286356
152,-0.08096588293024652
156,-0.0834231296455027
146,-0.08416591494915486
162,-0.08724112134131722
151,-0.09704683368338252
